type,series,date_numeric,.median_slope,.lower_slope,.upper_slope,.median_smooth,.lower_smooth,.upper_smooth,min,max
nonseasonal,Study 3.l,-505.94939979959923,-3.359174443051671e-4,-0.001413949570894246,8.101516414171779e-4,1.833829825316527,1.6176214732673084,2.059898662680877,-955,291
nonseasonal,Study 3.l,-502.78707515030067,-3.42854459822739e-4,-0.0014159962074100638,8.009521983154411e-4,1.8327972727814466,1.6173517597847622,2.0579099371937097,-955,291
nonseasonal,Study 3.l,-499.62475050100204,-3.4698222017848224e-4,-0.0014216894834273575,7.843745224611619e-4,1.8316444863864847,1.6161262674539187,2.0574580346389086,-955,291
nonseasonal,Study 3.l,-496.4624258517034,-3.5038358836558814e-4,-0.0014295541723496896,7.757304998468049e-4,1.8308852502113862,1.6148624029941008,2.056630702085935,-955,291
nonseasonal,Study 3.l,-493.30010120240485,-3.555167299440498e-4,-0.001438385735369474,7.62062303821808e-4,1.8298722145478585,1.6146455308270575,2.0547291459035266,-955,291
nonseasonal,Study 3.l,-490.1377765531063,-3.631825354899476e-4,-0.0014433712429040568,7.426303403501584e-4,1.828787856562427,1.6140742583913001,2.0526814013987993,-955,291
nonseasonal,Study 3.l,-486.97545190380765,-3.721679224799601e-4,-0.0014457149525470836,7.370483393887014e-4,1.8275381827852082,1.6135996192222344,2.0516576023172575,-955,291
nonseasonal,Study 3.l,-483.813127254509,-3.7765642657561216e-4,-0.0014554920580445163,7.34398930307689e-4,1.8263276749939699,1.6119239869832398,2.0502026161979137,-955,291
nonseasonal,Study 3.l,-480.65080260521046,-3.860814289380343e-4,-0.0014669097002095732,7.330400916882856e-4,1.8252085548530892,1.6108231998397984,2.0481929933483474,-955,291
nonseasonal,Study 3.l,-477.4884779559119,-3.9667043372215716e-4,-0.0014750440126165554,7.243058950501256e-4,1.8235658504227916,1.6100212754057728,2.0466935156634256,-955,291
nonseasonal,Study 3.l,-474.32615330661326,-4.0621493546666443e-4,-0.0014859897758678908,7.092750791470868e-4,1.822299268635705,1.6093548717971191,2.0448500418076185,-955,291
nonseasonal,Study 3.l,-471.16382865731464,-4.148709717988197e-4,-0.0014885630181371567,6.892387441059792e-4,1.8215494204673557,1.6089283190261698,2.043438255145449,-955,291
nonseasonal,Study 3.l,-468.00150400801607,-4.228030971997754e-4,-0.0014971382275796863,6.858889974814538e-4,1.8204698466599276,1.6074143133496874,2.041403001202185,-955,291
nonseasonal,Study 3.l,-464.8391793587175,-4.3096613011606166e-4,-0.0015051107631613991,6.89847845536384e-4,1.8187195286913584,1.6064682743350294,2.0396796525746086,-955,291
nonseasonal,Study 3.l,-461.6768547094189,-4.4080295369397504e-4,-0.0015197037058767293,6.845481903217094e-4,1.8176646203986282,1.6045296454017668,2.037664709574722,-955,291
nonseasonal,Study 3.l,-458.51453006012025,-4.508588701268579e-4,-0.0015337617603305986,6.864041987353344e-4,1.816539431327672,1.6039589160087393,2.036233282249913,-955,291
nonseasonal,Study 3.l,-455.3522054108217,-4.646412689046642e-4,-0.0015489635139198652,6.748786717303277e-4,1.8149998472218638,1.6027107847693969,2.0339617104576555,-955,291
nonseasonal,Study 3.l,-452.1898807615231,-4.743296468934233e-4,-0.0015685883371641116,6.73087893937607e-4,1.813216316999522,1.6020390138519442,2.0317758554344154,-955,291
nonseasonal,Study 3.l,-449.0275561122245,-4.8370182970103315e-4,-0.001582595011873078,6.717071244666246e-4,1.8119221798744483,1.6009314456624022,2.0287190644543616,-955,291
nonseasonal,Study 3.l,-445.86523146292586,-4.966560701591405e-4,-0.0016069276412455922,6.730555600964463e-4,1.810322153197054,1.5987570772998043,2.027184735518126,-955,291
nonseasonal,Study 3.l,-442.70290681362724,-5.094230137725475e-4,-0.0016242095628726805,6.643777649417697e-4,1.8085573454772106,1.5976004588792934,2.025922112894496,-955,291
nonseasonal,Study 3.l,-439.5405821643287,-5.207811702989673e-4,-0.0016473482737089373,6.602704630875857e-4,1.806967618403022,1.5962725716606707,2.023797591855867,-955,291
nonseasonal,Study 3.l,-436.3782575150301,-5.327406886745933e-4,-0.001659054967867446,6.468162869033286e-4,1.8051945803907656,1.5954769789409486,2.0225329972323154,-955,291
nonseasonal,Study 3.l,-433.2159328657315,-5.461168194331734e-4,-0.0016779637886155108,6.465085212958853e-4,1.8031989497245708,1.5936990717242328,2.02070704270041,-955,291
nonseasonal,Study 3.l,-430.05360821643296,-5.59519497400629e-4,-0.0017017216460690763,6.408450489270294e-4,1.8014736476871682,1.5926711671852127,2.018974705733071,-955,291
nonseasonal,Study 3.l,-426.89128356713434,-5.713844045684979e-4,-0.0017244207890954044,6.341962335398852e-4,1.7997598881623018,1.591810450333341,2.01680296625393,-955,291
nonseasonal,Study 3.l,-423.7289589178357,-5.832855946019677e-4,-0.0017310120701441445,6.258360617072962e-4,1.798124847159316,1.5911375899056979,2.015013383324309,-955,291
nonseasonal,Study 3.l,-420.5666342685371,-5.987387783346065e-4,-0.0017561934556820091,6.228131996632848e-4,1.7960960108099289,1.5906356831785073,2.0148036062544077,-955,291
nonseasonal,Study 3.l,-417.40430961923846,-6.115945746509865e-4,-0.0017809014210279361,6.160325046855589e-4,1.7941063087423412,1.5895471113840502,2.0137188767193868,-955,291
nonseasonal,Study 3.l,-414.24198496993995,-6.271491900244897e-4,-0.0018003378112918522,6.047265999675751e-4,1.791915114308287,1.5873989524499923,2.01150300791295,-955,291
nonseasonal,Study 3.l,-411.0796603206413,-6.415578974738878e-4,-0.001824165015201773,5.936228610448049e-4,1.7901444552401076,1.5849941065478708,2.0078647643213503,-955,291
nonseasonal,Study 3.l,-407.9173356713427,-6.576019119242105e-4,-0.0018501260617365123,5.88289501390892e-4,1.7877629967292814,1.5830227371242611,2.0062664212934105,-955,291
nonseasonal,Study 3.l,-404.7550110220442,-6.72650110500328e-4,-0.0018743028340428847,5.786818089881234e-4,1.7858701328615676,1.580945875696508,2.0028844821458804,-955,291
nonseasonal,Study 3.l,-401.59268637274556,-6.902485819582083e-4,-0.0018941670301253488,5.696870828464369e-4,1.783870121078692,1.5785509742143107,2.000239406738569,-955,291
nonseasonal,Study 3.l,-398.43036172344694,-7.084414150870799e-4,-0.0019097779145604843,5.580660277171301e-4,1.7816597420575278,1.5757773236948869,1.9972327172038484,-955,291
nonseasonal,Study 3.l,-395.2680370741483,-7.254275381507469e-4,-0.0019208534318304602,5.448746993097488e-4,1.779325556665361,1.574259101078611,1.9949432323562941,-955,291
nonseasonal,Study 3.l,-392.1057124248497,-7.434514712745255e-4,-0.0019392486508229556,5.35197265555398e-4,1.7770072140163458,1.5716604372885126,1.9924984815254372,-955,291
nonseasonal,Study 3.l,-388.9433877755512,-7.636559561374767e-4,-0.0019624377423033135,5.314859047145233e-4,1.7750005781492684,1.569862851032811,1.9894226592318411,-955,291
nonseasonal,Study 3.l,-385.78106312625255,-7.803549650908792e-4,-0.00197370312378653,5.240607460543775e-4,1.772649184441561,1.567810669345368,1.9881387956457361,-955,291
nonseasonal,Study 3.l,-382.6187384769539,-7.999239581835127e-4,-0.0019973394762007324,5.057761046922658e-4,1.7701308636486501,1.5652006077331377,1.9846865942210614,-955,291
nonseasonal,Study 3.l,-379.4564138276554,-8.182990345328989e-4,-0.002017764225914487,4.893841042630239e-4,1.7675951549462736,1.563306780243801,1.981393710088162,-955,291
nonseasonal,Study 3.l,-376.2940891783568,-8.401946295366614e-4,-0.0020402630724780657,4.709804738545208e-4,1.7650389487654725,1.5614046193823812,1.978608993266299,-955,291
nonseasonal,Study 3.l,-373.13176452905816,-8.582881898533401e-4,-0.0020622957832172606,4.5278890038469234e-4,1.7619455189180735,1.558819470674826,1.9748655543804003,-955,291
nonseasonal,Study 3.l,-369.96943987975953,-8.804118130090188e-4,-0.002090472171584201,4.2887460980911194e-4,1.759518607051707,1.556551304015448,1.9714460761543409,-955,291
nonseasonal,Study 3.l,-366.8071152304609,-9.023689490073039e-4,-0.0021090652974675717,4.1641861452945645e-4,1.7567930289274796,1.5542414099874016,1.9677968338716822,-955,291
nonseasonal,Study 3.l,-363.6447905811624,-9.22689938342991e-4,-0.0021332147182695493,3.936499590073693e-4,1.7540849444990045,1.551176951205744,1.9654783569464942,-955,291
nonseasonal,Study 3.l,-360.48246593186377,-9.476492319748786e-4,-0.002150942779255427,3.7048397465433387e-4,1.751159729610074,1.547565950627087,1.9635307368598713,-955,291
nonseasonal,Study 3.l,-357.32014128256515,-9.711752168017895e-4,-0.002176490204580661,3.443358317978262e-4,1.7482846200962383,1.544517095798458,1.961746856432362,-955,291
nonseasonal,Study 3.l,-354.15781663326663,-9.97190542584292e-4,-0.0022009446273896227,3.2074808873350214e-4,1.744856395428748,1.539939953244172,1.9571972865510912,-955,291
nonseasonal,Study 3.l,-350.995491983968,-0.0010201765903161686,-0.0022204077660459287,2.9976433695288996e-4,1.7415266342339,1.537008181735533,1.9535589188518474,-955,291
nonseasonal,Study 3.l,-347.8331673346694,-0.0010443390229264438,-0.0022416053979290584,2.746640572759408e-4,1.7383643150215649,1.5324711360990224,1.9497403723459672,-955,291
nonseasonal,Study 3.l,-344.67084268537076,-0.0010677901949307511,-0.0022617497450860835,2.485103167748633e-4,1.734787202714512,1.5284099348308922,1.9457500675866943,-955,291
nonseasonal,Study 3.l,-341.50851803607213,-0.0010950724961267255,-0.0022885528958127566,2.277625192781395e-4,1.7318694315638632,1.5250151890025256,1.9435038135383287,-955,291
nonseasonal,Study 3.l,-338.3461933867736,-0.0011223927320891391,-0.002305787612272292,2.0322728886412655e-4,1.728593447747632,1.5212335940785584,1.9409476055651118,-955,291
nonseasonal,Study 3.l,-335.183868737475,-0.001148086716695751,-0.002328451590050129,1.866575025266649e-4,1.7253023733801371,1.5176500096599648,1.9366453169931606,-955,291
nonseasonal,Study 3.l,-332.02154408817637,-0.0011737731857586198,-0.002353843012775636,1.625406422955943e-4,1.7219361209775728,1.5141735514513524,1.9334202601119193,-955,291
nonseasonal,Study 3.l,-328.85921943887786,-0.001203706832764162,-0.0023697280243539787,1.2599765366605413e-4,1.718395055613449,1.510412570755395,1.9302411651604752,-955,291
